center1,center2,far_base,close_base,far_ecc,close_ecc
"[(473.5, 11.5)]","[(263.5, 10.5)]","[(473.5, 11.5)]","[(263.5, 10.5)]",473.6396309431887,263.70912005465414
"[(500.5, 12.5)]","[(272.5, -3.5)]","[(500.5, 12.5)]","[(272.5, -3.5)]",500.65606957271575,272.52247613729037
"[(485.5, 12.5)]","[(285.5, -9.5)]","[(485.5, 12.5)]","[(285.5, -9.5)]",485.66088992217607,285.6580123154259
"[(465.5, 17.5)]","[(220.5, 8.5)]","[(465.5, 17.5)]","[(220.5, 8.5)]",465.8288312245175,220.6637713808046
"[(306.5, 10.5)]","[(509.5, -11.5)]","[(509.5, -11.5)]","[(306.5, 10.5)]",509.62976757642406,306.6798004433941
"[(363.5, 10.5)]","[(217.5, 8.5)]","[(363.5, 10.5)]","[(217.5, 8.5)]",363.6516189981835,217.666028585078
"[(456.5, -18.5)]","[(265.5, -0.5)]","[(456.5, -18.5)]","[(265.5, -0.5)]",456.8747093022331,265.50047080937543
"[(394.5, 7.5)]","[(231.5, 9.5)]","[(394.5, 7.5)]","[(231.5, 9.5)]",394.57128633492835,231.69484241130618
"[(377.5, -1.5)]","[(216.5, 4.5)]","[(377.5, -1.5)]","[(216.5, 4.5)]",377.50298012068725,216.54676169363512
"[(440.5, 6.5)]","[(214.5, -6.5)]","[(440.5, 6.5)]","[(214.5, -6.5)]",440.54795425696847,214.59846224984932
"[(426.5, 0.5)]","[(240.5, -5.5)]","[(426.5, 0.5)]","[(240.5, -5.5)]",426.5002930831349,240.5628815923188
"[(236.5, -2.5)]","[(465.5, 12.5)]","[(465.5, 12.5)]","[(236.5, -2.5)]",465.66780004634205,236.51321316154832
"[(475.5, 4.5)]","[(234.5, 1.5)]","[(475.5, 4.5)]","[(234.5, 1.5)]",475.52129289864615,234.50479739229218
"[(507.5, 7.5)]","[(285.5, -9.5)]","[(507.5, 7.5)]","[(285.5, -9.5)]",507.55541569369547,285.6580123154259
"[(468.5, 8.5)]","[(221.5, 6.5)]","[(468.5, 8.5)]","[(221.5, 6.5)]",468.5771014464962,221.59535193681296
"[(379.5, 3.5)]","[(215.5, 3.5)]","[(379.5, 3.5)]","[(215.5, 3.5)]",379.51613931425896,215.52842039972361
"[(459.5, -19.5)]","[(246.5, -6.5)]","[(459.5, -19.5)]","[(246.5, -6.5)]",459.9135788384596,246.58568490486223
"[(490.5, -15.5)]","[(202.5, 4.5)]","[(490.5, -15.5)]","[(202.5, 4.5)]",490.7448420513455,202.5499938286842
"[(368.5, -15.5)]","[(220.5, -4.5)]","[(368.5, -15.5)]","[(220.5, -4.5)]",368.82583965877444,220.54591358717124
"[(496.5, -12.5)]","[(209.5, 8.5)]","[(496.5, -12.5)]","[(209.5, 8.5)]",496.6573265341004,209.67236346261754
"[(264.5, -2.5)]","[(452.5, -17.5)]","[(452.5, -17.5)]","[(264.5, -2.5)]",452.83827135082123,264.5118144809415
"[(411.5, 11.5)]","[(201.5, 4.5)]","[(411.5, 11.5)]","[(201.5, 4.5)]",411.66066122475195,201.55024187532
"[(241.5, -7.5)]","[(468.5, -9.5)]","[(468.5, -9.5)]","[(241.5, -7.5)]",468.5963081373988,241.61643156043837
